node_id,platform,x,y,z,room,mac,ip,status
tplink01,tplink,12.36,3.02,11.42,FT326,a0:f3:c1:a8:76:e8,192.168.10.101,on
tplink03,tplink,13,0.7,7,FT224,a0:f3:c1:a8:76:58,192.168.10.103,on
tplink05,tplink,11,14.9,11,FT336,a0:f3:c1:49:36:44,192.168.10.105,on
tplink06,tplink,11,14.8,7,FT234,a0:f3:c1:49:36:da,192.168.10.106,on
tplink08,tplink,31,0.7,7,FT226,64:70:02:3e:aa:10,192.168.10.108,on
tplink09,tplink,2,0.7,7,FT222,64:70:02:3e:aa:d8,192.168.10.109,on
tplink10,tplink,4,14.8,7,FT235,64:70:02:3e:aa:ee,192.168.10.110,on
tplink11,tplink,21.5,14.8,7,FT231,64:70:02:3e:9f:62,192.168.10.111,on
tplink15,tplink,21.5,14.9,11,FT334,64:66:b3:c2:52:f8,192.168.10.115,on
tplink20,tplink,1.8,0.7,10.79,FT323,64:66:b3:c6:e6:cc,192.168.10.120,on
tplink22,tplink,29,0.7,11,FT330,64:66:b3:6F:8d:58,192.168.10.122,on
tplink23,tplink,2,14.9,11,FT338,64:66:b3:6f:91:28,192.168.10.123,on
nuc4,nuc,14.3,0.7,10.79,FT327,b8:ae:ed:75:29:00,,on
nuc6,nuc,16.74,15.2,10.79,FT335,b8:ae:ed:75:15:87,,on
nuc10,nuc,17.39,0.7,10.79,FT328,b8:ae:ed:75:bb:0c,,on
nuc11,nuc,4.98,0.7,10.79,FT324,b8:ae:ed:75:21:e4,,on
nuc12,nuc,20.47,0.7,10.79,FT329,b8:ae:ed:75:21:9a,,on
nuc13,nuc,8.08,15.2,10.79,FT337,b8:ae:ed:75:21:e5,,on
tbot-unit01,twistbot,31,6,6,FT226,,,on
tbot-mint01,twistbot,31,8,6,FT226,,,on

