,bssid,dev,freq,node,signal,ssid,ap
0,64:66:b3:ce:21:db,wlan1,2437,nuc11,-71.00 dBm,68-test,nuc10
1,64:66:b3:ce:21:db,wlan0,2437,nuc11,-68.00 dBm,68-test,nuc10
2,56:8b:3c:d0:48:b6,wlan1,5200,nuc11,-83.00 dBm,Intelligent-Mesh-5GHz,nuc10
3,56:8b:3c:d0:48:b6,wlan0,5200,nuc11,-81.00 dBm,Intelligent-Mesh-5GHz,nuc10
4,a0:cf:5b:3f:87:4e,wlan1,5660,nuc11,-78.00 dBm,TUB-Guest,nuc10
5,a0:cf:5b:3f:87:4d,wlan0,5660,nuc11,-75.00 dBm,TUB-intern,nuc10
6,a0:cf:5b:3f:87:4c,wlan0,5660,nuc11,-66.00 dBm,eduroam,nuc10
7,02:5d:60:77:86:72,wlan1,2412,nuc11,-82.00 dBm,twist-test,nuc10
8,56:8b:3c:d0:48:b6,wlan1,5200,nuc12,-85.00 dBm,Intelligent-Mesh-5GHz,nuc10
9,56:8b:3c:d0:48:b6,wlan0,5200,nuc12,-68.00 dBm,Intelligent-Mesh-5GHz,nuc10
10,a0:cf:5b:9f:68:61,wlan1,2412,nuc12,-73.00 dBm,TUB-Guest,nuc10
11,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc12,-78.00 dBm,TUB-Guest,nuc10
12,a0:cf:5b:9f:68:61,wlan0,2412,nuc12,-72.00 dBm,TUB-Guest,nuc10
13,a0:cf:5b:3f:91:7e,wlan0,5260,nuc12,-83.00 dBm,TUB-Guest,nuc10
14,a0:cf:5b:00:1d:8d,wlan1,5500,nuc12,-69.00 dBm,TUB-intern,nuc10
15,a0:cf:5b:9f:68:62,wlan1,2412,nuc12,-69.00 dBm,TUB-intern,nuc10
16,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc12,-78.00 dBm,TUB-intern,nuc10
17,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc12,-67.00 dBm,eduroam,nuc10
18,00:0b:6b:db:08:9e,wlan1,2462,nuc12,-81.00 dBm,eduroam.bowl.tu-berlin.de,nuc10
19,00:1b:b1:5d:b1:5a,wlan1,2462,nuc12,-57.00 dBm,eduroam.bowl.tu-berlin.de,nuc10
20,02:5d:60:77:86:72,wlan1,2412,nuc12,-60.00 dBm,twist-test,nuc10
21,02:5d:60:77:86:72,wlan0,2412,nuc12,-54.00 dBm,twist-test,nuc10
22,64:66:b3:ce:21:dc,wlan1,5240,nuc13,-56.00 dBm,68,nuc10
23,64:66:b3:ce:21:dc,wlan0,5240,nuc13,-64.00 dBm,68,nuc10
24,64:66:b3:ce:21:db,wlan1,2437,nuc13,-47.00 dBm,68-test,nuc10
25,64:66:b3:ce:21:db,wlan0,2437,nuc13,-24.00 dBm,68-test,nuc10
26,28:f0:76:71:45:92,wlan0,2462,nuc13,-76.00 dBm,MyNet,nuc10
27,a0:cf:5b:3f:bd:fe,wlan1,5300,nuc13,-76.00 dBm,TUB-Guest,nuc10
28,a0:cf:5b:3f:87:4e,wlan1,5660,nuc13,-68.00 dBm,TUB-Guest,nuc10
29,a0:cf:5b:3f:bd:fe,wlan0,5300,nuc13,-76.00 dBm,TUB-Guest,nuc10
30,a0:cf:5b:3f:87:4e,wlan0,5660,nuc13,-62.00 dBm,TUB-Guest,nuc10
31,a0:cf:5b:3d:7d:a1,wlan0,2462,nuc13,-72.00 dBm,TUB-Guest,nuc10
32,a0:cf:5b:3f:bd:fd,wlan1,5300,nuc13,-79.00 dBm,TUB-intern,nuc10
33,a0:cf:5b:3f:87:4d,wlan1,5660,nuc13,-68.00 dBm,TUB-intern,nuc10
34,a0:cf:5b:3f:bd:fd,wlan0,5300,nuc13,-78.00 dBm,TUB-intern,nuc10
35,a0:cf:5b:3f:87:4d,wlan0,5660,nuc13,-62.00 dBm,TUB-intern,nuc10
36,a0:cf:5b:3f:bd:fc,wlan1,5300,nuc13,-79.00 dBm,eduroam,nuc10
37,a0:cf:5b:3f:87:4c,wlan1,5660,nuc13,-68.00 dBm,eduroam,nuc10
38,a0:cf:5b:3f:bd:fc,wlan0,5300,nuc13,-60.00 dBm,eduroam,nuc10
39,a0:cf:5b:3f:87:4c,wlan0,5660,nuc13,-62.00 dBm,eduroam,nuc10
40,64:66:b3:ce:21:db,wlan1,2437,nuc4,-72.00 dBm,68-test,nuc10
41,56:8b:3c:d0:48:b6,wlan1,5200,nuc4,-58.00 dBm,Intelligent-Mesh-5GHz,nuc10
